sex,Length,Diameter,height,whole-weight,shucked-weight,viscera-weight,shell-weight,rings
I,75,56,16,44.7,23,8.6,11,6
F,119,97,29,250.3,100.7,58.5,66,14
M,134,105,34,280.1,143,60.5,77.4,9
I,58,42,14,22.3,9.6,4.1,6,5
I,51,38,10,16.6,5.9,4.3,5.4,6
M,117,86,32,191,72.5,35.2,54,11
M,132,101,40,326.1,97.3,59.4,122,18
M,77,51,20,63.5,27.4,13.6,18.4,8
F,116,91,24,214.7,95.8,54.7,53,10
I,74,55,20,56.3,30.1,10.1,13.6,5
I,88,70,24,75,28.5,19.3,23,9
M,77,59,19,67,29.4,18.8,18,7
F,115,87,30,206.1,92.1,43.6,72,8
M,121,95,32,323.2,109.9,66.4,68,18
M,128,101,31,239.1,111.3,42.2,69.2,11
M,131,105,32,292,137.2,62.2,81,11
F,105,86,25,162.6,66.3,33.2,35.5,12
I,110,84,27,163.2,79.9,29.7,46,12
M,121,96,34,236.7,116.4,47.3,63.4,10
I,55,44,16,27.3,11.3,5.7,8.4,6
M,107,81,37,166.9,63.5,34.5,58,16
F,105,81,23,144,62.1,38.3,40,14
M,77,60,23,68.7,32.9,17,20.5,6
F,127,102,37,257.2,105.2,59,82.1,12
I,65,50,16,34.7,15.3,6.9,9.8,7
F,132,101,38,280.9,125.1,67.5,74.9,9
M,116,92,36,229,96,55.4,65,11
I,88,68,24,87.6,42.3,16.6,24,9
I,67,50,16,36.6,14.7,8,11.5,6
I,40,31,8,8.7,3.1,1.8,1.4,4
M,94,74,27,109.4,44.4,26.5,34,12
F,94,70,29,103.5,37.4,24.7,36,11
I,109,86,26,151.9,71.6,30.6,41.1,8
M,120,95,34,226.3,101.6,54.4,61.8,10
M,106,82,25,153.8,69.2,34.6,43,9
M,126,98,32,218,81.4,44.8,70.8,12
F,120,101,38,225.8,87.7,51.2,72,13
F,114,87,28,161.7,64.7,36.6,44,16
I,94,74,22,111.1,50,23,32.6,8
M,107,82,27,172.4,57.1,30.5,64,14
F,126,100,32,244,98.1,60,69,14
I,130,105,36,325.2,119.4,68.9,106,18
I,111,87,29,139.5,52.4,31.5,48,11
M,133,100,35,259.5,121.5,62.8,63,9
I,51,36,11,16.6,6.2,4.3,4,4
M,120,95,30,217.8,103.9,44.6,58.4,11
I,93,73,23,93.4,46.3,18.5,22.6,7
F,83,68,26,73.5,29.2,17.7,24,10
F,132,95,36,273.9,128.2,58.8,67,6
F,146,116,38,347.5,135.7,86.9,104,11
I,97,75,22,92.8,40.3,18,29.8,8
F,92,70,23,88,38,20.5,26,8
M,126,103,35,239.1,98.4,49.4,74,11
I,48,34,10,10.9,4.1,3.2,3.1,5
F,113,88,32,183,70.8,38.7,64,12
F,144,112,35,345.3,127.4,68.3,105,17
F,119,96,30,222,99.6,45.6,66,10
M,144,120,47,447.7,196.8,82.2,124.2,12
I,75,58,20,43.8,18.5,7.6,15,6
F,97,79,32,132,49.5,25.6,47,14
F,126,96,35,273.5,100.3,60.7,103,17
F,133,111,39,287.7,116.2,70.8,72,17
M,129,103,32,236.9,101.2,62.2,67,9
M,130,100,31,240.4,113,62.7,58.8,11
M,145,110,40,302,174.7,85.3,101.7,9
F,114,88,25,173,73.5,34.5,54,12
I,64,49,16,31.7,12.7,6.5,10,13
M,98,79,27,110.9,42.6,18.5,43,14
M,102,80,28,138.1,51.8,30.2,46,10
I,104,80,28,124.4,55.6,29.1,33.8,8
F,114,88,28,190.7,75.7,40.2,61,17
I,61,43,13,21.5,8.8,4.1,7.6,5
I,78,62,21,53.3,23.7,10.5,16.2,8
I,95,73,20,26.3,40.5,17.5,24.6,7
I,61,45,18,29.3,12.6,6.8,8.3,6
M,154,120,43,438.9,210.3,96.4,116.8,10
I,26,20,6,2.6,0.9,0.6,0.8,3
F,106,85,34,189.8,69.7,47.9,55.6,17
M,156,120,42,509.6,238.9,114.9,134.9,11
M,116,94,33,199.5,78.7,48.4,66,10
F,128,99,34,245.3,98,75.4,57.5,11
F,141,111,39,350.5,142.1,84.3,103.2,12
F,114,90,30,192.9,106.2,37.8,41.8,9
I,90,67,19,70.1,32.3,12.5,23.7,7
M,113,85,27,162.3,68.2,33.5,51,15
M,123,90,30,239.6,141.4,41.9,50.1,7
M,123,101,38,280.6,134.3,58.5,73,8
I,67,49,18,33.3,11.9,8,12,6
I,105,80,28,121.1,52.1,21.6,42,9
I,102,79,31,107.9,49.3,21.7,33.4,8
F,90,67,21,85,37.3,18.2,23,9
F,130,103,39,280.1,103.9,72,88,13
I,85,62,18,60.2,27.7,13,16,7
F,113,88,31,187.9,85.5,42.8,54,12
F,142,109,35,381.4,174.5,91.3,95,11
F,120,94,34,216.1,99.9,44.9,64.1,9
F,93,78,28,111.1,42.6,21.5,43,15
F,125,98,29,184,87.4,34.7,56,10
M,111,88,30,151,61.4,30.5,52,12
F,133,103,36,277.8,118.9,64.8,79,10
M,130,101,36,293.8,142.3,66.7,76,9
I,59,45,16,24.8,9.7,6.4,8,9
I,100,76,27,105.7,45.2,24.6,41.8,8
M,83,63,23,77.9,40.3,13,20.6,9
F,114,90,32,194.3,79.3,51,52,12
I,42,30,11,9.1,4,1.3,2.6,4
F,127,101,29,226.9,101,53.1,63,10
M,72,54,20,43.4,17.7,9.9,14.3,6
M,106,86,27,175.8,56,43.3,50,10
I,66,52,16,38,15.3,7.7,13,7
F,105,80,26,139.9,62.3,26.2,44.6,9
I,71,56,22,44.7,16.3,10.5,16,7
I,97,77,26,113.6,50.1,35.6,30.8,7
I,55,41,13,20.2,8.2,4.2,6.8,5
M,125,99,35,250.8,116.3,57.2,63.7,9
I,74,54,19,43.5,19.4,9.2,13,6
M,118,94,32,241.2,95.8,48.5,61.8,8
M,110,84,34,169.3,67.2,48.1,49,13
F,109,84,35,150.8,51.2,35.5,55,10
I,94,74,28,99.7,41.9,24.5,29,10
F,134,103,34,285.3,132.1,67.9,74,11
M,80,61,17,59.4,21.6,14.1,20,10
M,134,102,35,305.3,130.2,89.5,69,10
F,131,105,35,269.6,117.1,52.1,78.8,10
I,75,57,16,45.2,19.5,8,14.5,7
F,129,105,38,361.7,140.7,77.7,79,18
F,75,58,16,56.4,28.1,14.5,16,7
F,121,96,35,233.7,96.3,46.1,71.2,9
I,85,68,20,70.3,32.5,16.4,18.8,7
M,66,43,15,22.9,9,5.3,7,6
F,128,96,39,228.7,98.3,46.9,70.6,9
F,118,88,28,201.4,95.5,42.1,58.5,9
I,82,62,18,66.7,32.7,12.2,18.2,6
F,115,97,33,208.1,83.8,52.8,60,14
F,131,91,34,257.9,117.4,63.3,68.3,11
I,103,80,27,127.2,61.1,24.3,37.1,9
I,110,88,33,172.1,62.4,33.8,60,17
I,85,65,22,81,33.9,18.4,21.3,8
M,128,101,33,288.7,122.9,60.7,78,18
F,106,82,26,139.3,60.4,38.7,40,10
M,89,70,24,88.5,38.4,19.1,27,8
M,123,94,32,203.5,94.6,47.9,56,10
I,78,58,18,52.5,23.4,10.8,15.4,7
F,114,90,36,181.6,80.3,43.4,51,9
F,134,104,39,361.3,151.6,74.7,101.1,11
F,126,100,34,262.7,111.9,53.4,80,20
F,88,68,21,72.8,29.6,16.1,23.5,8
M,117,91,30,197.4,87.1,41.5,62,11
M,132,101,38,287.7,135.5,57,35.6,11
F,122,99,35,252.7,106,63,69.1,10
F,99,75,30,119.4,52.3,27,35.6,11
F,100,77,23,135.7,58.9,27.6,39,12
I,124,94,28,171.3,71.9,32,59,9
M,127,103,32,241.5,107.7,56.4,69,11
F,113,80,26,139.5,61.5,33.3,36,8
M,136,103,34,322.3,168.3,61.2,79,11
F,117,94,34,219.8,79.5,46.5,71.6,20
I,95,70,25,84.5,38.1,15.8,27.1,9
M,129,102,33,280.6,115.1,50.3,90.9,11
I,77,53,16,50.2,24.8,7.4,14,6
F,120,94,38,226.9,98.4,51.9,67.5,10
F,126,95,30,214.4,86.6,59.5,63,8
M,100,80,25,119.5,54,25.5,33.2,9
M,118,93,28,209.2,93.9,52.6,52.6,7
F,98,78,27,118,43,25,36.9,12
I,97,83,28,114.1,50,26.8,37,8
F,92,71,26,91.6,38.4,21.1,26,13
F,125,97,27,260.5,122,53.5,72.1,14
F,119,93,30,205.1,82.4,54.9,57.8,11
M,122,96,33,248.7,111.5,53.5,74.4,8
M,104,80,24,164.6,59.6,36.1,53,15
F,122,100,36,287.6,103.7,74.7,66.9,9
M,126,97,31,255.6,127.4,55,62,8
F,108,77,28,153.1,65.3,23.2,47.3,10
F,129,100,36,255.7,106.9,59.9,69,13
I,82,67,21,66.1,28.1,12.8,21,7
I,78,62,17,68.8,36.2,13.9,15.8,7
F,111,89,35,229.3,110.2,48.8,55.7,8
M,69,54,19,39.4,13.3,10,14,9
I,104,76,27,107.9,45.9,26.6,31.4,8
M,130,97,28,235,95,48.7,43,8
M,98,79,28,109.8,44.3,25.5,30,11
F,104,83,29,160.9,66.5,34.5,57,10
F,130,99,32,262.1,115.4,66.3,71,9
F,97,75,27,111.2,38.5,26.3,33.7,10
F,103,85,27,142.4,53.3,32.1,50,11
M,120,94,33,211.8,100.8,48.2,55,9
F,93,70,23,84.2,31.3,18.2,26.9,9
M,109,84,28,150.1,49.5,26,51,22
I,102,79,26,120.5,56.2,28.6,32.4,7
M,116,94,33,185.4,64.3,39.7,63,11
I,99,78,25,133.1,56.8,32.4,40,11
F,128,101,38,247.1,88.7,62.1,73,14
F,124,97,44,302.2,101.9,56.8,102,17
I,90,69,27,88.6,39.5,17.5,23.5,14
M,115,87,26,202.1,73.6,44.4,64,10
M,114,96,36,187.9,79.8,40,59,14
M,96,77,29,128,58.5,28.1,31.5,6
M,137,107,31,276.9,132.3,42.9,81.5,10
F,129,101,33,263.6,110,60.3,67,11
F,106,86,34,155,70,30.4,47,17
I,102,76,23,103.1,43,22.7,33.2,8
M,75,60,20,49.3,20.8,9.5,16.6,11
I,83,62,18,56.3,24.9,12.3,17,6
F,126,97,34,264.1,118.9,69,69,9
F,124,100,34,229.6,109.5,44,66.3,10
I,49,41,12,15.3,6.8,2.8,4.3,4
M,122,94,30,232.5,113,51.6,61.7,11
I,85,65,23,73.7,32.4,17.3,20.9,7
F,130,99,35,245.4,105.6,51.6,74,11
M,139,110,39,332.9,145.4,72,89,11
I,110,87,25,148.2,69.6,31.7,41.2,9
M,90,70,20,73.5,29.3,20.3,24,10
M,121,89,28,196.4,85.9,41.7,59,12
I,79,58,19,63.8,27.6,16,16.4,7
I,109,86,30,145.7,60.4,26.3,50.9,10
M,135,108,35,310.9,132.9,55.6,102.4,12
M,71,56,19,49.1,19.1,12.4,15,11
F,78,60,20,53,21.5,12,17.3,13
I,83,62,19,68,36.2,11.4,16.6,6
I,87,71,25,81.5,30.7,14.8,33,9
F,123,95,33,204.6,98.1,39.1,60.7,12
I,72,57,21,48.3,18.3,11.4,15,7
F,125,96,34,270.5,124.7,55.6,73,10
M,149,117,43,499.8,185.3,94.4,140,17
F,120,100,32,224.4,101.9,51.2,61.8,10
F,144,118,41,349.9,155.1,84.5,96,11
I,72,56,16,35.1,16.2,10.1,14,6
M,116,93,35,207,80.2,37.3,77,17
F,79,60,21,67.5,28.7,15.1,19.6,12
M,126,97,32,248.6,124.6,55,60,10
I,50,38,13,16.7,7.8,3,5,5
M,119,90,29,191.8,92.6,41.3,50.7,10
F,93,72,24,95.3,38.4,22.5,32,10
M,90,64,20,76.2,34.1,15,23,9
F,139,110,32,327.3,138.8,60.1,88,13
I,60,47,16,26.2,10,5.3,8.6,4
F,127,103,38,274.3,101.3,61,90,10
F,148,113,41,423.8,193.1,103.7,96.4,12
M,136,108,31,306.8,134.2,75.8,76.8,10
F,100,78,26,127.1,50.1,32.7,39,15
M,70,52,18,39.6,14.5,11.2,12,10
M,122,73,31,215.3,97.6,49.8,54,9
I,76,56,17,54.7,23,12.2,17,6
I,83,66,18,71.9,34,16.2,18,6
I,64,50,16,31.3,11.4,6.8,12,9
M,111,82,25,119.8,46.9,29.3,38.8,8
I,81,62,19,68.5,35.7,12.8,17.1,8
F,92,73,23,89.7,33,16.6,34,14
M,101,80,31,168.3,54.3,35.5,57,12
M,103,80,28,126.7,57.6,29,33.6,9
F,116,88,36,170.8,73.3,32.7,49,12
F,113,88,30,172.6,87,29.8,54,9
M,122,100,48,328.4,106.4,66.9,138,18
F,125,99,32,222.3,89.9,56.5,69,11
M,94,72,21,108.8,54,27.9,25.8,7
I,110,85,30,153.3,67.8,35.2,42,8
M,134,104,35,295.1,125.5,75.8,74.8,10
I,62,45,15,31,13,7.4,7.3,6
F,127,99,35,247.1,104.1,61.7,69.4,10
I,28,21,7,2.9,1,0.7,1,4
M,130,105,35,294.3,135,63,79.8,11
F,135,109,39,346.9,136.9,73.9,121,20
I,116,84,28,140.2,65.7,20.4,45.1,9
M,126,98,31,250.5,126,49.2,57.8,9
I,119,94,27,187.3,86.8,36.8,57.4,10
I,108,84,28,148,71.9,31.8,39.7,8
F,93,70,25,96.4,46,21.2,21.9,6
M,139,112,38,298.8,117.6,68.5,97,15
F,101,81,32,136.7,54.2,29,43,10
M,105,79,33,156.4,57,28.1,57,19
I,90,72,25,90,38.2,17.3,29,12
F,136,110,38,361.4,164.5,73.1,103,11
F,101,95,32,223.1,101.8,47.8,61.3,8
M,107,84,30,139.9,51.5,30.6,48,12
I,109,84,25,143.4,71.6,22.4,44,8
M,103,79,27,201.4,94.4,49.9,50.4,8
M,100,76,24,115.3,54.6,27,29,9
M,94,77,27,117.9,55.3,24,34,8
I,80,60,22,63,21.8,13.4,24,9
F,122,93,32,214.5,96.7,50.3,56,10
F,107,84,26,139.8,62.5,31.3,40.7,8
F,130,105,33,247.6,129.4,49.7,60.1,9
I,68,50,15,35.7,13.3,9.1,9,5
F,103,79,33,151.3,38.1,34,64.1,10
F,68,51,17,40.8,19.4,4.2,10,6
I,100,78,26,101.5,42.3,20.8,35.1,9
I,93,74,24,87.3,37.6,16.3,29.4,9
M,108,84,24,162.3,78.4,29.1,44.7,9
M,123,96,36,231.9,96.9,43.3,65,13
I,105,80,28,139.1,48.1,32,50.6,10
M,122,94,35,242.8,106.3,56.7,65,10
I,79,60,24,59.9,25.3,13.6,17.9,8
M,131,105,36,280.4,124.8,58.7,73,13
M,115,85,28,172.7,78.6,45.4,40,11
M,116,86,25,182.3,89.2,41.5,24.2,10
I,90,68,24,98.5,48.2,21.5,24,6
F,108,84,28,161,73.8,34.5,42,11
M,94,75,26,115.9,42.9,32.8,39,13
M,110,77,26,145.5,68.6,32.5,38,8
F,76,64,23,129.5,64.6,26.5,32.8,7
F,134,108,39,323.8,148,66.1,93,11
F,76,61,21,56.2,20.9,12.3,18,12
F,114,94,28,174.2,77,42.2,46.3,10
M,101,78,23,111.7,51.5,23.8,30.7,8
I,88,66,27,104.4,34,18.1,39,16
M,110,84,29,147.7,64.2,29.7,50.4,11
F,95,72,25,89.4,33.9,16.2,28,9
F,139,110,37,335.8,161,80.3,79.3,10
I,99,77,25,102.5,41.5,23.1,34.4,10
M,124,96,31,251.1,105.4,74.8,63.5,11
F,123,95,31,223,96.8,42.3,71,10
F,89,65,25,91,35.7,22.5,28,9
M,64,48,17,34,13.1,9.4,9.8,7
F,109,82,23,135.3,58,31.6,44,9
I,49,36,13,14.2,6,2.6,4.3,4
M,122,98,32,222.4,93,45.6,68.2,10
F,124,95,30,190.9,91,37.3,55.4,9
M,91,71,26,103,40,25.5,35,11
I,100,82,28,132.3,51.7,32.5,39.2,9
F,127,100,33,291.9,141,52.9,78,9
I,33,24,6,4.3,1.4,1,1,3
M,113,89,30,159.2,72.7,36.8,43.8,8
F,128,100,30,240.3,111.8,46.2,67.1,9
I,90,70,27,98.8,44.1,18.9,28.1,7
F,116,92,37,203.4,70.3,40,64,10
M,132,105,36,295.6,116.3,76.2,74.4,10
F,131,100,41,305.6,124.3,74.5,90.7,11
F,141,111,40,293.7,94.3,64.7,104,19
I,73,54,17,39.2,16.5,7.5,12,7
I,89,69,26,81.5,27.3,12.9,36,11
F,124,94,40,245.1,76.2,54,87,23
I,99,77,25,117,55.1,24.7,33,8
M,139,103,35,303.3,115.6,82.1,78,15
M,113,88,37,181.8,68.8,46.5,51,15
I,64,48,14,26.6,11.7,5.1,8.2,6
F,119,90,30,222.8,117.3,44.1,50,11
I,103,79,25,111.2,53.9,19.2,34,8
I,51,37,13,14.8,6.1,3.3,4,4
M,116,93,29,177.4,88.1,33.1,53,11
M,88,73,25,103.2,43.1,22.8,31,10
F,88,71,23,83,31.7,18.5,26.2,11
I,72,53,15,35.7,15.7,7,10.8,6
F,130,104,39,256.2,119.7,49.2,76.5,10
M,65,48,17,34.6,15.9,7.6,10,7
I,85,62,21,73,31.8,16.5,21,6
I,101,85,25,122.3,49,27.5,40,9
M,114,84,31,201.6,75.4,38.6,68,13
I,45,34,10,10.3,3.8,2.4,3.4,4
F,105,83,34,166.5,55.1,33.7,62,13
M,109,92,32,179.5,68.2,33.1,69,10
I,85,65,20,79.6,23.7,12.9,18.9,6
I,106,79,26,115,49.4,23,36.6,9
I,46,33,12,10.3,3.8,2.9,7.2,4
F,129,98,32,228.8,100.3,57.8,63.8,8
I,73,55,27,48,21.6,8.9,14.7,7
F,130,103,43,299.6,112.8,64.6,85,16
M,128,99,34,227.8,107.9,56.4,57,10
I,37,27,9,6.4,2.2,1.3,2,4
F,120,94,27,194,93.1,39.1,52.8,11
I,75,56,16,43.3,18.7,18.5,14,7
F,110,94,30,184.1,76.2,48.7,53.5,10
I,97,73,25,85.2,32.6,19.3,30.2,8
M,122,96,33,248.8,126.9,51.4,61,12
I,87,67,22,76.6,31.1,13.5,27,12
I,94,70,26,93.2,36.9,19.8,29,11
F,146,114,33,403.3,213.7,83.6,87,10
M,139,109,37,314.3,132.9,76.7,90.1,13
F,123,100,33,265.4,120,60.3,71,10
I,145,110,44,409.9,154.7,88.1,131,10
F,120,95,31,242,130.6,33.9,64.1,10
I,96,78,30,125.5,55.2,26.8,37,13
I,85,63,20,75.4,32.9,14.4,21,6
M,130,105,38,322.5,155.4,73.7,79.3,11
M,100,78,26,141.8,55,33.6,36,11
F,129,96,34,226.9,105.6,50.8,61,10
M,117,93,32,191.1,91.9,47.2,53,7
I,104,76,28,105,35.5,23,37,11
F,121,99,34,218.3,87.3,54.3,67,13
I,119,95,31,196.8,97.3,36.8,55.1,10
F,121,94,32,216.7,108.1,44.3,55,12
M,84,67,23,73.8,34.2,14.2,24,8
I,81,62,18,62.4,27.6,12,17.4,8
F,89,71,30,97,36.2,25,31,11
F,134,102,31,255.6,112.1,60.9,71.6,11
I,106,81,26,132.3,58.9,27.9,38,9
I,70,50,20,80.3,34.5,12.6,25.1,7
F,119,91,28,182.8,77.9,44.5,54.2,9
M,115,92,31,178.4,88.3,35.2,44,10
M,82,62,25,71.9,28.3,17.7,23,11
F,104,75,27,107.5,44.2,23.4,34,8
F,110,85,28,190.4,97.9,38.9,43.7,7
M,85,70,21,78.6,26,12.6,33,9
F,125,97,30,218.9,106.2,52.2,59.2,10
M,130,99,32,241.5,110,53.9,64,10
M,127,95,34,238.7,104.1,53.9,73.3,10
M,101,82,25,128.4,57.8,26.6,31,9
M,117,94,29,191.3,80.5,47.3,53,9
M,127,105,41,296.8,110,62.3,86,20
F,119,93,30,196,82.3,39.2,45.1,10
F,109,86,28,166.4,87.1,34,40.2,9
F,117,95,37,171.5,69.3,35.7,55,12
I,99,75,24,122.8,57.1,27.3,32.2,8
I,111,87,28,153,78.9,30,41.2,8
I,72,60,17,54,23.7,12.8,14.9,7
I,64,47,16,29.7,12.8,6.2,9,6
F,119,93,29,221.4,80.4,48.3,62,12
M,109,84,25,194.9,70.6,34.8,61,13
F,115,92,33,191.5,96.3,38.9,47.2,10
M,127,98,32,220.2,106.8,37.3,69.1,10
I,102,79,21,110.5,46.8,25.4,33,8
I,96,70,27,109.3,54.7,19.9,31.6,8
M,126,102,38,299.7,82.5,61.5,109,16
M,120,82,29,187.8,89.5,39.2,53.6,8
M,103,77,26,124.6,57.1,25.7,35,10
I,60,44,13,23.9,10.4,3.1,7,5
F,132,106,37,269.7,98.6,49,98,12
F,115,85,30,175.3,91,36,45.6,8
F,110,86,30,131,52.7,24.4,44.2,8
I,65,49,15,29.9,12.1,6.6,9,5
F,135,107,44,320.8,123.5,85.1,90.6,14
I,91,71,16,90.4,43.3,19.9,25,9
I,102,80,25,111.5,52.3,23.9,30.5,9
M,101,77,30,128.3,49.2,30.4,43,12
F,129,100,31,244.1,122.9,47.2,63.7,10
M,91,70,22,91.6,40,22.2,26.1,8
M,136,107,37,321.4,144.9,64.3,99.6,12
F,115,86,31,159.1,69.7,38.5,44,9
M,125,100,26,216.4,115.7,40.9,50,8
F,129,100,45,325.2,117.4,81.1,82,15
M,115,89,29,169.4,83,38.9,44,9
I,120,95,30,224,113,49.3,54,10
M,141,112,33,335,159.4,81.9,77.6,10
F,123,95,34,220.5,93.9,47.1,69,14
M,59,43,15,25.8,10,5.9,8,7
I,104,76,26,106.9,47.5,24.4,30.7,8
M,113,90,28,201.1,75.7,48.8,53,12
M,94,75,24,111.3,45.2,24.4,39,12
M,105,85,24,173.3,56.5,35.2,58,18
F,110,88,30,178.9,62.9,30.2,64,19
I,107,78,25,119.8,51.9,29.8,33.8,9
M,130,103,35,293.2,135.4,60.9,80,10
M,134,101,32,251.7,125.1,62.2,61.6,12
M,115,95,29,171.4,73.3,34.6,53.8,9
M,114,90,29,190,80.1,44.7,56.9,10
I,84,62,20,56.1,22.5,12.3,18.5,8
M,103,78,28,135.6,68.2,26.5,23.8,8
M,100,80,33,165,50.8,41,57,13
I,95,70,24,98.1,40.7,26,27,7
I,88,65,20,83.3,37,17.3,22,6
I,115,90,27,164.9,67.5,42.3,47.8,11
M,122,96,30,229.9,112.8,54.8,52.8,8
F,103,78,26,115.1,39.5,26,36.9,9
M,139,108,39,338.2,153.6,72.6,95.1,11
F,124,102,41,269.5,95.5,51.3,96,14
I,79,59,20,54.3,26.8,6.5,17,10
I,79,59,20,58.6,28,12.4,16.4,7
M,93,70,28,115.1,40.3,30.1,38,15
M,85,66,26,88.1,30.4,18.7,31,9
I,66,46,16,28,11.3,7.3,9.2,7
